child_code,child_var,parent_code,parent_var
KDS241421_04010201_01,fIVd,KDS241421_04010201_02,fOVd
KDS241421_04010201_02,fIVcd,KDS241421_04010202_02,fOVcd
KDS241421_04010201_01,fIVd,KDS241421_04010201_03,fOVd
KDS241421_04010201_03,fIVsd,KDS241421_04010203_02,fOVsd
KDS241421_04010201_03,fIVdmax,KDS241421_04010203_02,fOVdmax
KDS241421_04010203_04,fIVdmax,KDS241421_04010203_02,fOVdmax
KDS241421_04010203_02,fIVdmaxc,KDS241421_04010202_03,fOVdmaxc
KDS241421_04010203_02,fInu,KDS241421_04010202_03,fOnu
KDS241421_04010201_01,fIVd,KDS241421_04010201_02,fOVd
KDS241421_04010201_02,fIVcd,KDS241421_04010202_01,fOVcd
