child_code,child_var,parent_code,parent_var
KDS241421_04010203_03,fInu,KDS241421_04010202_03,fOnu
KDS241421_04010203_03,fIVdmaxc,KDS241421_04010203_04,fOVdmaxc
KDS241421_04010203_04,fIVdmax,KDS241421_04010203_03,fOVdmax
KDS241421_04010203_04,fIVsd,KDS241421_04010203_03,fOVsd
KDS241421_04010201_01,fIVsd,KDS241421_04010203_03,fOVsd
KDS241421_04010201_03,fIVdmax,KDS241421_04010203_03,fOVdmax
KDS241421_04010201_03,fIVdmaxc,KDS241421_04010203_04,fOVdmaxc
KDS241421_04010201_01,fIVd,KDS241421_04010203_03,fOVd
KDS241421_04060201_03,fIepsicu,KDS241421_03010205_02_01,fOepscu
KDS142022_040101_01,fIphi,KDS142010_040203_02_03,fOphi
KDS142022_040101_01,fIVc,KDS142022_040201_01_01,fOVc
KDS142022_040101_01,fIVc,KDS142022_041102_05,fOVc
KDS142022_040101_01,fIVs,KDS142022_041103_02,fOVs
KDS142022_041102_05,fIVc,KDS142022_041102_02,fOVc
KDS142022_041102_05,fIcu,KDS142022_041102_02,fOcu
KDS142022_041102_02,fIbo,KDS142022_041101_03,fObo
KDS142022_041102_05,fIbo,KDS142022_041101_03,fObo
